#,Id,key,Chinese,TraditionalChinese
,1,main.start,New Game,New Game
,2,main.continue,Continue,Continue
,3,main.setting,Settings,Settings
,4,main.thank,Credits,Credits
,5,main.exit,Quit,Quit
,6,menu.tips,Menu,Menu
,7,menu.continueTitle,Continue,Continue
,8,menu.saveTitle,Save,Save
,9,menu.loadTitle,Load,Load
,10,menu.settingTitle,Settings,Settings
,11,menu.returnTitle,Main Menu,Main Menu
,12,save.tips,Save,Save
,13,load.tips,Load,Load
,14,load.auto,AS,AS
,15,setting.languageTitle,Language,Language
,16,setting.language,English,English
,17,setting.resoulutionTitle,Screen,Screen
,18,setting.displayTitle,Display,Display
,19,setting.displaywindow,Windowed,Windowed
,20,setting.displayfull,Max,Max
,21,setting.soundTitle,SFX,SFX
,22,setting.musicTitle,Music,Music
,23,setting.controllerTitle,Controls,Controls
,24,setting.tips,Settings,Settings
,25,setting.keyboard1,Move:← or →,Move:← or →
,26,setting.keyboard2,Interact: Space,Interact: Space
,27,controller.tips,Controls,Controls
,28,fish.ji,Crucian Carp,Crucian Carp
,29,fish.li,Common Carp,Common Carp
,30,fish.tangshi,Catfish,Catfish
,31,fish.qing,Herring,Herring
,32,fish.cao,Grass Carp,Grass Carp
,33,fish.lian,Silver Carp,Silver Carp
,34,fish.yong,Bighead Carp,Bighead Carp
,35,fish.banghua,Chinese False Gudgeon ,Chinese False Gudgeon 
,36,fish.tuling,Dace,Dace
,37,fish.yueli,Snakehead,Snakehead
,38,fish.makou,Horse Mouth Fish,Horse Mouth Fish
,39,fish.landao,Moonfish,Moonfish
,40,fish.qiaozui,Topmouth Cutler,Topmouth Cutler
,41,fish.jun,Holland's Carp,Holland's Carp
,42,fish.daoqiu,Mahi-Mahi,Mahi-Mahi
,43,fish.sanjiao,Trout,Trout
,44,fish.bangui,Hairfin Anchovy,Hairfin Anchovy
,45,fish.luofei,Tilapia,Tilapia
,46,desc.ji,Fresh water fish that eats everything. Looks pretty while swimming.,Fresh water fish that eats everything. Looks pretty while swimming.
,47,desc.li,Lives closer to the bottom， slightly yellow on the belly. Has short whiskers， generally timid and full of life.,Lives closer to the bottom， slightly yellow on the belly. Has short whiskers， generally timid and full of life.
,48,desc.tangshi,Looks shiny with no scales， has eight large whiskers， can actually crawl on land and live out of the water for a bit.,Looks shiny with no scales， has eight large whiskers， can actually crawl on land and live out of the water for a bit.
,49,desc.qing,Greenish Grey color， hard to catch and moves quick. One of the “Four Famous Domestic Fishes”,Greenish Grey color， hard to catch and moves quick. One of the “Four Famous Domestic Fishes”
,50,desc.cao,Yellowish Brown color， lively and swims fast. One of the “Four Famous Domestic Fishes”,Yellowish Brown color， lively and swims fast. One of the “Four Famous Domestic Fishes”
,51,desc.lian,Thin scales all over， silver grey on the back， white on the belly. One of the “Four Famous Domestic Fishes”,Thin scales all over， silver grey on the back， white on the belly. One of the “Four Famous Domestic Fishes”
,52,desc.yong,Slightly flat， big head， big mouth. One of the “Four Famous Domestic Fishes”,Slightly flat， big head， big mouth. One of the “Four Famous Domestic Fishes”
