Key,Description,Standard,Chinese,TraditionalChinese
SAY.mozicheng.29.莫子成,,我晓得我奶是哪样跟她家里人失散的了。,I know how my Grandma got separated from her family.,I know how my Grandma got separated from her family.
SAY.mozicheng.30.莫子成,,她那天忽然清醒了一段时间，跟我说了。,One day she was suddenly full of clarity， and told me.,One day she was suddenly full of clarity， and told me.
SAY.mozicheng.31.主角,,哪样？,How?,How?
SAY.mozicheng.32.莫子成,,本来那天她答应带她弟飞宝，去看白鹭的。,Originally she told her little brother Feibao， they would go see egrets.,Originally she told her little brother Feibao， they would go see egrets.
SAY.mozicheng.33.莫子成,,结果一大早就有人来，把飞宝买走当童工了。,But early morning someone came and bought Feibao as a child worker.,But early morning someone came and bought Feibao as a child worker.
SAY.mozicheng.34.莫子成,,飞宝是坐船走的，她想偷偷追上去救他回来。,Feibao left on a boat， she was sneaking out to go save him.,Feibao left on a boat， she was sneaking out to go save him.
SAY.mozicheng.35.莫子成,,但是她上错船了，去到很远的地方。,But she got on the wrong boat， and went somewhere far away.,But she got on the wrong boat， and went somewhere far away.
SAY.mozicheng.36.莫子成,,再也找不到回家的路。,Couldn't find her way back.,Couldn't find her way back.
SAY.mozicheng.37.莫子成,,这一走就是七十几年。,And like that， seventy years.,And like that， seventy years.
SAY.mozicheng.38.主角,,唉，太可怜。,Sigh， how sad.,Sigh， how sad.
SAY.mozicheng.39.莫子成,,我就说为什么每次路过大桥，她都要停下来。,So I was just thinking how come everytime we cross the big bridge， she has to stop.,So I was just thinking how come everytime we cross the big bridge， she has to stop.
SAY.mozicheng.40.莫子成,,她就静静地站在那里，一直流眼泪。,She would just stand there quietly， tears falling down.,She would just stand there quietly， tears falling down.
SAY.mozicheng.41.莫子成,,原来是看见江边的白鹭她就想起她的家人。,It was because the Egrets made her homesick.,It was because the Egrets made her homesick.
SAY.mozicheng.42.主角,,等过完端午，我跟你去那边找找吧。,After Duanwu， let's go look over there.,After Duanwu， let's go look over there.
SAY.mozicheng.43.主角,,看有没有她家的线索。,See if we can find something about her family.,See if we can find something about her family.
SAY.mozicheng.44.莫子成,,我也是这样想的。,I was just thinking that too.,I was just thinking that too.
SAY.mozicheng.45.莫子成,,不讲找到人，好歹找到那个地方吧。,Not even asking to find people， at least just the place.,Not even asking to find people， at least just the place.
SAY.mozicheng.46.主角,,落叶归根嘛。,Falling leaves return to the roots， right?,Falling leaves return to the roots， right?
SAY.mozicheng.47.莫子成,,不过，她那天跟我讲完以后，整个人变精神了。,But， after she told me that story， she was different.,But， after she told me that story， she was different.
SAY.mozicheng.48.莫子成,,就好像长舒了一口气。,It's like she finally was able to let something out.,It's like she finally was able to let something out.
SAY.mozicheng.49.莫子成,,可能她知道自己的记性越来越差。,Maybe because she knows her memory is fading.,Maybe because she knows her memory is fading.
SAY.mozicheng.50.莫子成,,以后什么都会不记得，包括这件事。,In the future she won't remember anything， including this.,In the future she won't remember anything， including this.
SAY.mozicheng.51.莫子成,,讲给我听，那我就帮她记住了。,After telling me， that means I help her remember.,After telling me， that means I help her remember.
SAY.mozicheng.52.莫子成,,村口有棵树，树旁边是一间大宅。,There's a tree at the town entrance， next to the tree is a big house.,There's a tree at the town entrance， next to the tree is a big house.
SAY.mozicheng.53.莫子成,,街道的路是石板铺的，村口有桑树和鱼塘。,The streets are paved with stone， there's also a fish pond and mulberry tree.,The streets are paved with stone， there's also a fish pond and mulberry tree.
SAY.mozicheng.54.莫子成,,这就是我奶记忆中她村子的模样。,That's the village in my Grandma's memory.,That's the village in my Grandma's memory.
SAY.mozicheng.55.莫子成,,我奶越来越像娃仔了，爱讲俏皮话。,Grandma's more and more like a kid， she's being more of a wisecrack.,Grandma's more and more like a kid， she's being more of a wisecrack.
SAY.mozicheng.56.莫子成,,我觉得她有时候是故意装傻。,Sometimes I feel like she's pretending like she doesn't understand.,Sometimes I feel like she's pretending like she doesn't understand.
SAY.mozicheng.57.莫子成,,如果那样，也是好事，证明她人开心点了。,If that's so， that's good too， means she's happier.,If that's so， that's good too， means she's happier.
SAY.mozicheng.58.莫子成,,离开家乡和亲人越久，思念的情绪就越深。,The longer you're away from  home and family， the harder it is.,The longer you're away from  home and family， the harder it is.
SAY.mozicheng.59.莫子成,,是真的咩？我不晓得。,Yeah? I don't know.,Yeah? I don't know.
SAY.mozicheng.60.莫子成,,我没有离开过芷滨镇。,I've never left Zhibin.,I've never left Zhibin.
SAY.mozicheng.61.莫子成,,跟我最亲的那几个人，也没有和我分开过。,The peopel closest to me， we've never been apart.,The peopel closest to me， we've never been apart.
SAY.mozicheng.62.莫子成,,我开始知道照相有什么意义了。,I'm learning more about what pictures mean.,I'm learning more about what pictures mean.
SAY.mozicheng.63.莫子成,,它可以记住一些会消失的东西。,It can remember things that will disappear.,It can remember things that will disappear.
SAY.mozicheng.64.莫子成,,而且记住的那些时刻，我还可以选比较好的。,And I can pick the better times to remember.,And I can pick the better times to remember.
SAY.mozicheng.65.莫子成,,看到我奶现在的样子，有时候也觉得蛮好的。,Seeing Grandma now， I think it's pretty good.,Seeing Grandma now， I think it's pretty good.
SAY.mozicheng.66.莫子成,,什么她都慢慢忘记了，连悲伤也会慢慢消失。,She'll forget everything slowly， even sadness.,She'll forget everything slowly， even sadness.
SAY.xiaojie.29.主角,,晓洁。,Xiaojie.,Xiaojie.
SAY.xiaojie.31.女学生晓洁,,覃叔。,Uncle Tan.,Uncle Tan.
SAY.xiaojie.90.主角,,看书呀？,Reading?,Reading?
SAY.xiaojie.91.女学生晓洁,,嗯，一个叫茴逸的作家写的散文集。,Yes， a collection of essays from Huiyi.,Yes， a collection of essays from Huiyi.
SAY.xiaojie.92.女学生晓洁,,她是北方人，写的东西很多我都没见过。,He's a Northener， lots of things he writes about I've never seen.,He's a Northener， lots of things he writes about I've never seen.
SAY.xiaojie.93.女学生晓洁,,我觉得还挺有意思的，最近都靠它消磨时光。,I think it's interesting， so I use it to pass the time.,I think it's interesting， so I use it to pass the time.
SAY.xiaojie.95.女学生晓洁,,“妈妈为了省钱，,“In order to save money,“In order to save money
SAY.xiaojie.96.女学生晓洁,,冬天去姥姥家不舍得坐五毛钱的公交车。,Mom didn't want to spend the 5 cents for the bus to get her to Grandma's house in the Winter.,Mom didn't want to spend the 5 cents for the bus to get her to Grandma's house in the Winter.
SAY.xiaojie.97.女学生晓洁,,去姥姥家要走半小时，,Walking there takes half an hour， ,Walking there takes half an hour， 
SAY.xiaojie.98.女学生晓洁,,妈妈就带着我从家门口开始滚雪球，,So Mom had me start rolling a snowball when we left the house，,So Mom had me start rolling a snowball when we left the house，
SAY.xiaojie.99.女学生晓洁,,一直滚到姥姥家，雪球就变大了。,We rolled it all the way to Grandma's house， so the snowball got big.,We rolled it all the way to Grandma's house， so the snowball got big.
SAY.xiaojie.100.女学生晓洁,,然后我们再在姥姥家把雪球变成雪人。,Then we made it into a snowman.,Then we made it into a snowman.
SAY.xiaojie.101.女学生晓洁,,具体的情景，我已经不记得了。,What the scene looked like I don't remember.,What the scene looked like I don't remember.
SAY.xiaojie.102.女学生晓洁,,印象里唯独有滚雪球的片段。”,I only remember rolling the snowball”,I only remember rolling the snowball”
SAY.xiaojie.103.女学生晓洁,,“每当街头卖爆米花的老爷爷出现时，,“Whenever the Grandpa that sells popcorn shows up，,“Whenever the Grandpa that sells popcorn shows up，
SAY.xiaojie.104.女学生晓洁,,身后总是跟着我们这群孩子。,we kids are always following him.,we kids are always following him.
SAY.xiaojie.105.女学生晓洁,,其实大家并不是去买爆米花，,Not becuase we wanted to buy popcorn，,Not becuase we wanted to buy popcorn，
SAY.xiaojie.106.女学生晓洁,,而是为了看爆米花爆出时的情景。,we wanted to watch as the popcorn was popped.,we wanted to watch as the popcorn was popped.
SAY.xiaojie.107.女学生晓洁,,他牵着马，马背上驮着老式爆米花机。,He would lead his horse， the horse would have the old popcorn machine.,He would lead his horse， the horse would have the old popcorn machine.
SAY.xiaojie.108.女学生晓洁,,到了他固定呆的位置，架起火就开始爆米花。,He'd get to his spot， setup shop and start making popocorn.,He'd get to his spot， setup shop and start making popocorn.
