Key,Description,Standard,Chinese,TraditionalChinese,English
SAY.mozicheng.29.莫子成,,我晓得我奶是哪样跟她家里人失散的了。,我晓得我奶是哪样跟她家里人失散的了。,我曉得我奶是哪樣跟她家裏人失散的了。,I know how my Grandma got separated from her family.
SAY.mozicheng.30.莫子成,,她那天忽然清醒了一段时间，跟我说了。,她那天忽然清醒了一段时间，跟我说了。,她那天忽然清醒了一段時間，跟我說了。,One day she was suddenly full of clarity， and told me.
SAY.mozicheng.31.主角,,哪样？,哪样？,哪樣？,How?
SAY.mozicheng.32.莫子成,,本来那天她答应带她弟飞宝，去看白鹭的。,本来那天她答应带她弟飞宝，去看白鹭的。,本來那天她答應帶她弟飛寶，去看白鷺的。,Originally she told her little brother Feibao， they would go see egrets.
SAY.mozicheng.33.莫子成,,结果一大早就有人来，把飞宝买走当童工了。,结果一大早就有人来，把飞宝买走当童工了。,結果一大早就有人來，把飛寶買走當童工了。,But early morning someone came and bought Feibao as a child worker.
SAY.mozicheng.34.莫子成,,飞宝是坐船走的，她想偷偷追上去救他回来。,飞宝是坐船走的，她想偷偷追上去救他回来。,飛寶是坐船走的，她想偷偷追上去救他回來。,Feibao left on a boat， she was sneaking out to go save him.
SAY.mozicheng.35.莫子成,,但是她上错船了，去到很远的地方。,但是她上错船了，去到很远的地方。,但是她上錯船了，去到很遠的地方。,But she got on the wrong boat， and went somewhere far away.
SAY.mozicheng.36.莫子成,,再也找不到回家的路。,再也找不到回家的路。,再也找不到回家的路。,Couldn't find her way back.
SAY.mozicheng.37.莫子成,,这一走就是七十几年。,这一走就是七十几年。,這一走就是七十幾年。,And like that， seventy years.
SAY.mozicheng.38.主角,,唉，太可怜。,唉，太可怜。,唉，太可憐。,Sigh， how sad.
SAY.mozicheng.39.莫子成,,我就说为什么每次路过大桥，她都要停下来。,我就说为什么每次路过大桥，她都要停下来。,我就說為什麼每次路過大橋，她都要停下來。,So I was just thinking how come everytime we cross the big bridge， she has to stop.
SAY.mozicheng.40.莫子成,,她就静静地站在那里，一直流眼泪。,她就静静地站在那里，一直流眼泪。,她就靜靜地站在那裏，一直流眼淚。,She would just stand there quietly， tears falling down.
SAY.mozicheng.41.莫子成,,原来是看见江边的白鹭她就想起她的家人。,原来是看见江边的白鹭她就想起她的家人。,原來是看見江邊的白鷺她就想起她的家人。,It was because the Egrets made her homesick.
SAY.mozicheng.42.主角,,等过完端午，我跟你去那边找找吧。,等过完端午，我跟你去那边找找吧。,等過完端午，我跟你去那邊找找吧。,After Duanwu， let's go look over there.
SAY.mozicheng.43.主角,,看有没有她家的线索。,看有没有她家的线索。,看有沒有她家的線索。,See if we can find something about her family.
SAY.mozicheng.44.莫子成,,我也是这样想的。,我也是这样想的。,我也是這樣想的。,I was just thinking that too.
SAY.mozicheng.45.莫子成,,不讲找到人，好歹找到那个地方吧。,不讲找到人，好歹找到那个地方吧。,不講找到人，好歹找到那個地方吧。,Not even asking to find people， at least just the place.
SAY.mozicheng.46.主角,,落叶归根嘛。,落叶归根嘛。,落葉歸根嘛。,Falling leaves return to the roots， right?
SAY.mozicheng.47.莫子成,,不过，她那天跟我讲完以后，整个人变精神了。,不过，她那天跟我讲完以后，整个人变精神了。,不過，她那天跟我講完以後，整個人變精神了。,But， after she told me that story， she was different.
SAY.mozicheng.48.莫子成,,就好像长舒了一口气。,就好像长舒了一口气。,就好像長舒了一口氣。,It's like she finally was able to let something out.
SAY.mozicheng.49.莫子成,,可能她知道自己的记性越来越差。,可能她知道自己的记性越来越差。,可能她知道自己的記性越來越差。,Maybe because she knows her memory is fading.
SAY.mozicheng.50.莫子成,,以后什么都会不记得，包括这件事。,以后什么都会不记得，包括这件事。,以後什麼都會不記得，包括這件事。,In the future she won't remember anything， including this.
SAY.mozicheng.51.莫子成,,讲给我听，那我就帮她记住了。,讲给我听，那我就帮她记住了。,講給我聽，那我就幫她記住了。,After telling me， that means I help her remember.
SAY.mozicheng.52.莫子成,,村口有棵树，树旁边是一间大宅。,村口有棵树，树旁边是一间大宅。,村口有棵樹，樹旁邊是一間大宅。,There's a tree at the town entrance， next to the tree is a big house.
SAY.mozicheng.53.莫子成,,街道的路是石板铺的，村口有桑树和鱼塘。,街道的路是石板铺的，村口有桑树和鱼塘。,街道的路是石板鋪的，村口有桑樹和魚塘。,The streets are paved with stone， there's also a fish pond and mulberry tree.
SAY.mozicheng.54.莫子成,,这就是我奶记忆中她村子的模样。,这就是我奶记忆中她村子的模样。,這就是我奶記憶中她村子的模樣。,That's the village in my Grandma's memory.
